jumpHeight,takeOffVelocity,bodyWeight,pushOffDistance,maxPower,maxPowerRelative,slope,slopeRelative
0.256719051,2.244287813,80,0.35,2590.42837,32.38035463,-1538.365851,-19.22957313
0.248748151,2.2091715,85,0.35,2591.141738,30.48402044,-1551.774592,-18.25617167
0.240848932,2.173811412,90,0.35,2595.962652,28.84402947,-1568.915967,-17.43239964
0.287499456,2.375024069,70,0.35,2851.421105,40.73458721,-1639.183758,-23.41691083
0.27954643,2.341943842,75,0.35,2859.413358,38.12551144,-1659.935393,-22.13247191
0.271620226,2.308503594,80,0.35,2866.237743,35.82797179,-1679.695679,-20.99619599
0.263760231,2.274857301,85,0.35,2872.037177,33.78867267,-1698.58687,-19.98337494
0.255997066,2.241129724,90,0.35,2871.067718,31.90075242,-1705.8363,-18.95373666
0.214408449,2.051022614,70,0.35,1494.079589,21.34399413,-584.2953583,-8.347076547
0.195022723,1.956104758,75,0.35,1493.911946,19.91882594,-584.4567125,-7.792756166
0.177265697,1.86492707,80,0.35,1489.926436,18.62408045,-587.2568565,-7.340710707
0.160889362,1.776696172,85,0.35,1489.774582,17.52675979,-586.3474989,-6.898205869
0.145822592,1.691460689,90,0.35,1492.468865,16.58298739,-583.2218584,-6.480242871
0.278857194,2.339054971,70,0.35,1877.655095,26.82364422,-714.8295187,-10.21185027
0.258708542,2.252967285,75,0.35,1874.520076,24.99360102,-721.2642361,-9.616856481
0.239999246,2.169973551,80,0.35,1872.037432,23.4004679,-725.6297204,-9.070371505
0.22258618,2.089770527,85,0.35,1868.883916,21.9868696,-728.5915844,-8.571665699
0.206482461,2.012755793,90,0.35,1864.060714,20.71178571,-733.6085582,-8.151206202
0.332517341,2.554210293,70,0.35,2261.97942,32.31399172,-845.2818003,-12.07545429
0.312137686,2.474700265,75,0.35,2257.125785,30.09501047,-846.9616087,-11.29282145
0.293070452,2.397924577,80,0.35,2253.550377,28.16937972,-856.7334109,-10.70916764
0.275351714,2.324306482,85,0.35,2249.386158,26.46336656,-863.8542871,-10.16299161
0.258708542,2.252967285,90,0.35,2248.069267,24.97854741,-866.054254,-9.622825045
0.377364712,2.721010042,70,0.35,2642.493347,37.74990495,-962.5796035,-13.75113719
0.357565732,2.648667524,75,0.35,2639.913197,35.19884262,-976.9361057,-13.02581474
0.33836709,2.576579574,80,0.35,2635.806533,32.94758166,-980.4805188,-12.25600648
0.320725814,2.508513597,85,0.35,2633.933395,30.98745171,-987.2081584,-11.61421363
0.303749622,2.441222558,90,0.35,2628.306092,29.20340102,-998.2752229,-11.09194692
0.414232565,2.85083197,70,0.35,3019.288271,43.13268958,-1084.919152,-15.49884503
0.395475412,2.785539012,75,0.35,3019.620743,40.2616099,-1096.785147,-14.62380196
0.377364712,2.721010042,80,0.35,3014.267453,37.67834316,-1100.896999,-13.76121249
0.359946937,2.657472276,85,0.35,3016.810471,35.4918879,-1112.299567,-13.08587726
0.343239089,2.595062797,90,0.35,3011.905069,33.46561187,-1117.567307,-12.41741452
0.446356904,2.959311145,70,0.35,3393.727791,48.48182558,-1194.961389,-17.07087698
0.428136005,2.898280251,75,0.35,3389.502041,45.19336054,-1203.867041,-16.05156054
0.410546434,2.838119276,80,0.35,3392.251584,42.4031448,-1216.438329,-15.20547911
0.393619812,2.778996351,85,0.35,3391.906538,39.9047828,-1235.199369,-14.53175728
0.377364712,2.721010042,90,0.35,3392.612516,37.69569462,-1246.840121,-13.85377912
